"filename", "language", "C++", "Makefile", "Go", "Docker", "Markdown", "JSON", "comment", "blank", "total"
"e:\Projects\VScodeProjects\ocibuilder_init\include\config\pod_exit_policy.h", "C++", 11, 0, 0, 0, 0, 0, 0, 5, 16
"e:\Projects\VScodeProjects\ocibuilder_init\include\context\context.h", "C++", 54, 0, 0, 0, 0, 0, 15, 13, 82
"e:\Projects\VScodeProjects\ocibuilder_init\include\copy\copy.h", "C++", 53, 0, 0, 0, 0, 0, 2, 9, 64
"e:\Projects\VScodeProjects\ocibuilder_init\include\define\build.h", "C++", 184, 0, 0, 0, 0, 0, 255, 13, 452
"e:\Projects\VScodeProjects\ocibuilder_init\include\define\namespace.h", "C++", 18, 0, 0, 0, 0, 0, 0, 2, 20
"e:\Projects\VScodeProjects\ocibuilder_init\include\define\pull.h", "C++", 22, 0, 0, 0, 0, 0, 0, 4, 26
"e:\Projects\VScodeProjects\ocibuilder_init\include\define\types.h", "C++", 159, 0, 0, 0, 0, 0, 69, 13, 241
"e:\Projects\VScodeProjects\ocibuilder_init\include\define\types_unix.h", "C++", 15, 0, 0, 0, 0, 0, 0, 1, 16
"e:\Projects\VScodeProjects\ocibuilder_init\include\devices\devices.h", "C++", 30, 0, 0, 0, 0, 0, 11, 10, 51
"e:\Projects\VScodeProjects\ocibuilder_init\include\digest\algorithm.h", "C++", 30, 0, 0, 0, 0, 0, 0, 3, 33
"e:\Projects\VScodeProjects\ocibuilder_init\include\digest\digest.h", "C++", 28, 0, 0, 0, 0, 0, 0, 3, 31
"e:\Projects\VScodeProjects\ocibuilder_init\include\digest\digester.h", "C++", 13, 0, 0, 0, 0, 0, 2, 4, 19
"e:\Projects\VScodeProjects\ocibuilder_init\include\digest\verifier.h", "C++", 20, 0, 0, 0, 0, 0, 0, 2, 22
"e:\Projects\VScodeProjects\ocibuilder_init\include\docker\container.h", "C++", 10, 0, 0, 0, 0, 0, 75, 6, 91
"e:\Projects\VScodeProjects\ocibuilder_init\include\docker\types.h", "C++", 96, 0, 0, 0, 0, 0, 23, 21, 140
"e:\Projects\VScodeProjects\ocibuilder_init\include\fmt\print.h", "C++", 8, 0, 0, 0, 0, 0, 23, 8, 39
"e:\Projects\VScodeProjects\ocibuilder_init\include\go\context.h", "C++", 48, 0, 0, 0, 0, 0, 8, 11, 67
"e:\Projects\VScodeProjects\ocibuilder_init\include\go\file.h", "C++", 17, 0, 0, 0, 0, 0, 0, 6, 23
"e:\Projects\VScodeProjects\ocibuilder_init\include\go\hash.h", "C++", 12, 0, 0, 0, 0, 0, 4, 6, 22
"e:\Projects\VScodeProjects\ocibuilder_init\include\go\sha256.h", "C++", 16, 0, 0, 0, 0, 0, 11, 8, 35
"e:\Projects\VScodeProjects\ocibuilder_init\include\go\string.h", "C++", 20, 0, 0, 0, 0, 0, 10, 1, 31
"e:\Projects\VScodeProjects\ocibuilder_init\include\go\time.h", "C++", 11, 0, 0, 0, 0, 0, 0, 2, 13
"e:\Projects\VScodeProjects\ocibuilder_init\include\graphdriver\chown.h", "C++", 18, 0, 0, 0, 0, 0, 6, 7, 31
"e:\Projects\VScodeProjects\ocibuilder_init\include\graphdriver\counter.h", "C++", 35, 0, 0, 0, 0, 0, 7, 8, 50
"e:\Projects\VScodeProjects\ocibuilder_init\include\graphdriver\driver.h", "C++", 99, 0, 0, 0, 0, 0, 22, 9, 130
"e:\Projects\VScodeProjects\ocibuilder_init\include\graphdriver\driver_linux_windows.h", "C++", 19, 0, 0, 0, 0, 0, 1, 2, 22
"e:\Projects\VScodeProjects\ocibuilder_init\include\graphdriver\fsdiff.h", "C++", 20, 0, 0, 0, 0, 0, 14, 7, 41
"e:\Projects\VScodeProjects\ocibuilder_init\include\homedir\homedir_unix.h", "C++", 20, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Projects\VScodeProjects\ocibuilder_init\include\idtools\idtools.h", "C++", 33, 0, 0, 0, 0, 0, 0, 3, 36
"e:\Projects\VScodeProjects\ocibuilder_init\include\imagebuildah\build.h", "C++", 18, 0, 0, 0, 0, 0, 0, 3, 21
"e:\Projects\VScodeProjects\ocibuilder_init\include\imagebuildah\executor.h", "C++", 182, 0, 0, 0, 0, 0, 3, 8, 193
"e:\Projects\VScodeProjects\ocibuilder_init\include\imagebuildah\stage_executor.h", "C++", 58, 0, 0, 0, 0, 0, 14, 4, 76
"e:\Projects\VScodeProjects\ocibuilder_init\include\imagebuildah\util.h", "C++", 16, 0, 0, 0, 0, 0, 2, 3, 21
"e:\Projects\VScodeProjects\ocibuilder_init\include\imagebuilder\builder.h", "C++", 134, 0, 0, 0, 0, 0, 6, 13, 153
"e:\Projects\VScodeProjects\ocibuilder_init\include\imagebuilder\dispatchers.h", "C++", 69, 0, 0, 0, 0, 0, 0, 11, 80
"e:\Projects\VScodeProjects\ocibuilder_init\include\imagebuilder\evaluator.h", "C++", 29, 0, 0, 0, 0, 0, 1, 6, 36
"e:\Projects\VScodeProjects\ocibuilder_init\include\imagebuilder\internals.h", "C++", 34, 0, 0, 0, 0, 0, 6, 5, 45
